Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g274.0649,Core,9.46E-05,24:42.5,0.01129,-52:01:50.70563,0.02009,0.00312,0.0002,0.486,0.022,0.107,0.04,175.6,1.9
g282.2988,,8.57E-05,-,-,-,-,<2.57e-4,-,-,-,-,-,-,-
g283.9146,,1.02E-04,-,-,-,-,<3.07e-4,-,-,-,-,-,-,-
g284.2438,A,7.89E-05,20:35.2,0.0793,-58:25:06.57140,0.1291,<2.32e-4,-,-,-,-,-,-,-
g284.2438,E,7.89E-05,-,-,-,-,<2.36e-4,-,-,-,-,-,-,-
g286.2086,A,1.04E-04,-,-,-,-,<3.27e-4,-,-,-,-,-,-,-
g286.2086,B,1.04E-04,38:32.2,0.0329,-58:19:08.5779,0.0443,0.00151,0.00024,0.904,0.357,0.261,0.154,49,45
g286.2086,B2,1.04E-04,-,-,-,-,<3.18e-4,-,-,-,-,-,-,-
g287.3716,A,1.20E-04,,,,,0.000502,9.74E-05,1.1,0.15,0.56,0.18,100.4,7.5
g287.8893,,-,-,-,-,-,-,-,-,-,-,-,-,-
g298.2620,A,3.46E-05,11:47.7,0.0415,-61:46:20.9688,0.0474,0.000696,7.60E-05,0.413,0.13,0.23,0.126,103,32
g300.9674,N,1.80E-04,,,,,0.528,0.0276,,,,,,
g300.9674,S,1.80E-04,34:53.1,0.00978,-61:39:42.90234,0.01184,0.00325,0.00025,0.249,0.038,0.203,0.054,97,173
g301.1364,S,6.64E-04,35:35.1,0.000935,-63:02:31.876038,0.000763,1.1,0.0054,0.6291,0.0015,0.357,0.0027,111.62,0.23
g301.1364,N,6.64E-04,35:35.2,0.00595,-63:02:24.00409,0.00485,0.212,0.0067,0.559,0.013,0.514,0.017,164,17
g305.1940,,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.2017,E,1.32E-04,11:10.6,0.0222,-62:34:37.9067,0.0434,0.000689,8.70E-05,-,-,-,-,-,-
g305.2017,C,1.32E-04,11:10.5,0.0583,-62:34:38.7015,0.1138,0.000444,0.000147,-,-,-,-,-,-
g305.2017,W,1.32E-04,11:10.0,0.0093,-62:34:40.12329,0.0093,0.00328,0.00017,0.576,0.032,0.307,0.067,16.7,6.1
g305.5610,Core,9.05E-05,14:26.4,0.00479,-62:44:30.29097,0.00591,0.00421,0.00016,<0.23,-,<0.05,-,-,-
g305.5610,A,9.05E-05,,,,,0.0131,0.000905,-,-,-,-,-,-
g308.9176,A,2.22E-04,,,,,0.0803,0.00121,4.6,-,2.7,-,-,-
g310.0135,N,4.23E-05,51:37.9,0.045,-61:39:06.24500,0.039,0.000539,0.000137,<0.47,-,<0.26,-,-,-
g310.0135,S,4.23E-05,51:37.9,0.01237,-61:39:07.81140,0.01409,0.00135,7.40E-05,<0.59,-,<0.16,-,-,-
g310.1420,A1,7.37E-05,51:58.4,0.00903,-61:15:41.18246,0.01738,0.0016,8.30E-05,0.335,0.018,0.089,0.035,2.39,0.77
g310.1420,A2,7.37E-05,51:58.3,0.0193,-61:15:41.35170,0.0371,0.00149,0.00016,0.733,0.061,0.388,0.128,25,10
g310.1420,A3,7.37E-05,51:58.2,0.0258,-61:15:41.72250,0.0496,0.000629,9.30E-05,-,-,-,-,-,-
g310.1420,A4,7.37E-05,51:57.9,0.054,-61:15:42.09810,0.1039,0.00034,0.000105,-,-,-,-,-,-
g310.1420,B,7.37E-05,-,-,-,-,<2.19e-4,-,-,-,-,-,-,-
g310.1420,C,7.37E-05,-,-,-,-,<2.19e-4,-,-,-,-,-,-,-
g310.1420,D,7.37E-05,51:59.6,0.0524,-61:15:39.82180,0.1013,0.00119,0.00036,1.4,0.2,0.23,0.11,81.6,5.6
g310.1420,E,7.37E-05,-,-,-,-,<2.19e-4,-,-,-,-,-,-,-
g313.7654,A1,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,A2,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,B1,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,B2,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,D,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.4298,Core,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.4298,SE,-,,,,,-,-,-,-,-,-,-,-
g317.8908,A,1.01E-04,53:06.3,0.00278,-59:21:00.27585,0.00465,0.0128,0.0002,0.439,0.013,0.274,0.02,108.1,4.4
g317.9830,,1.01E-04,,,,,-,-,-,-,-,-,-,-
g318.9480,A,4.76E-05,00:55.3,0.0497,-58:58:52.79530,0.0437,0.000334,6.40E-05,0.54,0.088,0.254,0.184,77,143
g326.6618,A,7.13E-05,45:02.8,0.017,-54:09:03.43010,0.0404,0.00102,0.00016,0.514,0.209,0.096,0.039,153,15
g326.6618,W,7.13E-05,45:02.4,0.0339,-54:09:03.39530,0.0804,0.00165,0.00033,1.851,0.082,0.618,0.214,168.5,5
g327.1192,A,1.08E-04,47:32.8,0.0242,-53:52:39.68410,0.0537,0.000561,7.90E-05,-,-,-,-,-,-
g331.3576,A,1.52E-04,06:25.8,0.0174,-50:43:22.54760,0.0235,0.00294,0.00024,0.281,0.107,0.232,0.161,119,143
g331.4904,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g331.5414,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g331.5131,A,-,,,,,-,-,-,-,-,-,-,-
g331.5582,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g332.0939,W,1.06E-04,16:16.4,0.00385,-51:18:24.83223,0.00852,0.00478,0.00013,-,-,-,-,-,-
g332.0939,E,1.06E-04,-,-,-,-,<3.14e-4,-,-,-,-,-,-,-
g332.8256,A,4.11E-03,,,,,4.317855,0.0573,,,,,,
g332.9868,A,1.55E-04,20:37.8,0.00372,-50:43:49.84406,0.00668,0.0108,0.00059,<0.46,-,<0.07,-,-,-
g337.8442,A,2.04E-04,40:26.7,0.001091,-47:07:13.019392,0.002656,0.0439,0.00028,0.227,0.0087,0.1882,0.0118,8.2,9.8
g338.9196,A,4.37E-05,40:34.0,0.0219,-45:42:07.46860,0.0294,0.00033,6.00E-05,-,-,-,-,-,-
g339.6221,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g339.6221,W,-,-,-,-,-,-,-,-,-,-,-,-,-
g339.8838,C,6.21E-05,52:04.7,0.00369,-46:08:34.06676,0.00986,0.00301,6.60E-05,<0.32,-,<0.10,-,-,-
g339.8838,SW,6.21E-05,52:04.2,0.0269,-46:08:39.94990,0.0719,0.000434,6.90E-05,-,-,-,-,-,-
g339.8838,NE,6.21E-05,52:04.9,0.0112,-46:08:31.03141,0.02996,0.00114,7.60E-05,0.298,0.603,0.115,0.222,146,124
g340.0543,D,-,-,-,-,-,-,-,-,-,-,-,-,-
g340.0543,E,-,,,,,-,-,-,-,-,-,-,-
g340.2480,A,1.84E-03,,,,,0.192,0.0149,0.781,0.015,0.451,0.035,169.9,3.2
g343.1261,Central,7.00E-05,58:17.2,0.005,-42:52:07.14800,0.014,0.0163,0.00059,1.011,0.2022,0.148,0.0296,161.6,20
g343.1261,C,7.00E-05,58:17.7,0.0154,-42:52:12.56920,0.0444,0.000998,9.20E-05,0.693,0.274,0.18,0.195,160,20
g343.1261,S1,7.00E-05,58:17.5,0.00466,-42:52:16.44344,0.01342,0.00413,0.00011,0.697,0.023,0.271,0.074,36.4,3.8
g343.1261,S3,7.00E-05,58:17.2,0.062,-42:52:08.76600,0.128,0.000674,0.000385,-,-,-,-,-,-
g343.1261,N1,7.00E-05,58:16.8,0.0301,-42:51:57.01920,0.0867,0.000517,9.30E-05,-,-,-,-,-,-
g343.1261,N2,7.00E-05,58:16.9,0.0404,-42:51:58.39420,0.1166,0.000847,0.000204,1.1,0.19,0.32,0.41,132,48
g343.1261,N4,7.00E-05,58:17.0,0.01215,-42:52:03.67122,0.03503,0.00148,0.00011,0.424,0.087,0.307,0.15,44,34
g343.5213,E,7.14E-05,,,,,<1.95e-4,-,-,-,-,-,-,-
g343.5213,W,7.14E-05,,,,,0.000519,8.80E-05,1.2,0.33,0.63,0.5,167,35
g345.4938,C,1.40E-04,59:41.6,0.00124,-40:03:43.73885,0.00353,0.0175,0.00013,0.3224,0.0088,0.1292,0.0247,164.1,2.7
g345.4938,IW,1.40E-04,59:41.4,0.04,-40:03:43.38,0.04,0.00216,0.00065,1.46,0.13,0.86,0.33,14,14
g345.4938,IE,1.40E-04,59:41.9,0.04,-40:03:44.11,0.04,0.00197,0.0005,<2.2,-,<0.53,-,-,-
g345.4938,OW,1.40E-04,-,-,-,-,<4.38e-4,-,-,-,-,-,-,-
g345.4938,OE,1.40E-04,-,-,-,-,<4.38e-4,-,-,-,-,-,-,-
g345.5043,A,1.78E-04,04:22.9,0.00624,-40:44:22.88589,0.01489,0.00324,0.00018,<0.37,-,<0.04,-,-,-
g345.9561,A,4.85E-05,-,-,-,-,<1.40e-4,-,-,-,-,-,-,-
g348.6972,A,-,-,-,-,-,-,-,-,-,-,-,-,-
