Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g010.8411,A,8.04E-05,19:12.1,0.006,-20:47:31.0120,0.039,0.00629,0.00011,0.599,1.699,0.098,0.218,7.2,9.8
g012.9090,A,6.88E-05,14:39.5,0.017,-17:51:59.87180,0.0679,0.00154,8.00E-05,-,-,-,-,-,-
g014.9958,A,9.58E-05,20:19.5,0.00977,-16:13:29.95467,0.0303,0.0015,8.70E-05,<0.30,-,<0.14,-,-,-
g251.2337,A,7.17E-05,02:43.0,0.0786,-34:31:48.47100,0.2599,0.000644,0.000119,<1.46,-,<0.83,-,-,-
g254.0491,A,1.01E-04,-,-,-,-,<3.06e-4,-,-,-,-,-,-,-
g254.0548,C,1.06E-04,17:52.5,0.0512,-35:52:47.74,0.1558,0.000395,5.04E-05,-,-,-,-,-,-
g254.0548,W,1.06E-04,-,-,-,-,<3.18e-4,-,-,-,-,-,-,-
g263.2283,A,1.12E-04,53:09.5,0.0208,-42:13:08.08530,0.0411,0.000838,8.90E-05,-,-,-,-,-,-
g263.7434,N,1.22E-04,-,-,-,-,<3.66e-4,-,-,-,-,-,-,-
g263.7434,S,1.22E-04,48:48.6,0.0212,-43:32:28.42250,0.0459,0.00143,0.00024,0.542,0.228,0.192,0.107,23,51
g263.7759,A,1.19E-04,46:34.9,0.00761,-43:54:30.33381,0.01324,0.00198,0.00017,-,-,-,-,-,-
g263.7759,NW,1.19E-04,46:34.8,0.0455,-43:54:29.68530,0.0761,0.00172,0.00032,<1.16,-,<0.28,-,-,-
g265.1438,A,7.72E-05,59:27.4,0.0016,-43:45:03.74600,0.0727,0.000699,0.000102,-,-,-,-,-,-
g268.3957,,1.17E-04,-,-,-,-,<3.51e-4,-,-,-,-,-,-,-
g269.1835,,-,-,-,-,-,-,-,-,-,-,-,-,-
g274.0649,A,9.46E-05,,,,,0.0194,0.000238,4.3,,4.1,,,
g274.0649,B,9.46E-05,,,,,0.023,0.000367,5,,2.9,,,
g274.0649,C,9.46E-05,,,,,0.0435,0.000713,3.5,,2.9,,,
