Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g010.8411,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g012.9090,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g014.9958,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g251.2337,A,1.80E-05,02:43.0,0.0304,-34:31:49.14610,0.0819,0.000506,2.20E-05,<0.30,-,<0.14,-,-,-
g254.0491,A,2.27E-05,15:57.1,0.0766,-36:08:07.16430,0.1962,0.000296,3.20E-05,2.22,0.18,0.17,0.39,169.7,4.9
g254.0548,C,1.99E-05,17:52.5,0.0441,-35:52:47.63780,0.1147,0.000267,7.69E-05,0.944,0.123,0.338,0.3,19.4,3.5
g254.0548,W,1.99E-05,17:52.3,0.1307,-35:52:51.61670,0.3396,0.000112,2.42E-05,2.95,0.76,1.91,1.15,78,165
g263.2283,A,2.00E-05,53:09.5,0.034,-42:13:07.72240,0.0608,0.000443,1.80E-05,<0.99,-,<0.43,-,-,-
g263.7434,N,2.02E-05,48:48.5,0.033,-43:32:24.02460,0.0571,0.000585,4.00E-05,<1.00,-,<0.68,-,-,-
g263.7434,S,2.02E-05,48:48.7,0.0345,-43:32:28.57760,0.0596,0.000728,4.80E-05,2.11,0.36,0.67,0.4,6.6,10
g263.7759,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g263.7759,NW,-,-,-,-,-,-,-,-,-,-,-,-,-
g265.1438,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g268.3957,,-,-,-,-,-,-,-,-,-,-,-,-,-
g269.1835,,4.25E-05,-,-,-,-,<12.75e-5,-,-,-,-,-,-,-
g274.0649,A,6.29E-04,,,,,0.065,0.00319,12,,5.8,,,
g274.0649,B,6.29E-04,,,,,0.0427,0.00581,6.5,,4.5,,,
g274.0649,C,6.29E-04,,,,,0.0491,0.00623,6.8,,5.1,,,
g274.0649,Core,6.29E-04,-,-,-,-,-,-,-,-,-,-,-,-
g282.2988,,-,-,-,-,-,-,-,-,-,-,-,-,-
g283.9146,,-,-,-,-,-,-,-,-,-,-,-,-,-
g284.2438,A,1.63E-05,20:35.2,0.0281,-58:25:07.05780,0.0211,0.00159,4.10E-05,2.046,0.076,1.507,0.082,17,5.9
g284.2438,E,1.63E-05,20:37.1,0.0986,-58:25:10.4299,0.074,0.000161,1.40E-05,6,-,4.7,-,-,-
g286.2086,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g286.2086,B,-,-,-,-,-,-,-,-,-,-,-,-,-
g286.2086,B2,-,-,-,-,-,-,-,-,-,-,-,-,-
g287.3716,A,2.03E-05,,,,,0.00376,0.000557,6.8,-,5.6,-,-,-
g287.8893,,4.27E-05,-,-,-,-,<1.28e-4,-,-,-,-,-,-,-
g298.2620,A,1.58E-05,11:47.7,0.1231,-61:46:20.8605,0.0846,0.000215,4.00E-05,2.02,0.74,1.05,0.57,78,65
g300.9674,N,-,,,,,-,-,-,-,-,-,-,-
g300.9674,S,-,-,-,-,-,-,-,-,-,-,-,-,-
g301.1364,S,-,-,-,-,-,-,-,-,-,-,-,-,-
g301.1364,N,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.1940,,5.30E-05,-,-,-,-,<1.59e-4,-,-,-,-,-,-,-
g305.2017,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.2017,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.2017,W,-,-,-,-,-,-,-,-,-,-,-,-,-
g305.5610,Core,8.81E-05,-,-,-,-,-,-,-,-,-,-,-,-
g305.5610,A,8.81E-05,,,,,0.0487,0.00251,8.9,,7.8,,,
g308.9176,A,-,,,,,-,-,-,-,-,-,-,-
g310.0135,N,1.59E-05,51:37.8,0.078,-61:39:06.30300,0.207,0.000806,0.000105,-,-,-,-,-,-
g310.0135,S,1.59E-05,51:37.9,0.223,-61:39:07.94100,0.597,0.000267,0.000162,-,-,-,-,-,-
g310.1420,A1,2.11E-05,51:58.4,-,-61:15:41.19100,-,0.001,0.000569,-,-,-,-,-,-
g310.1420,A2,2.11E-05,51:58.3,-,-61:15:41.39900,-,0.002,0.000305,-,-,-,-,-,-
g310.1420,A3,2.11E-05,51:58.2,-,-61:15:41.74600,-,0.00192,0.000194,1.313,0.2626,0.797,0.1594,85.1,17.02
g310.1420,A4,2.11E-05,51:57.9,-,-61:15:42.19800,-,0.00108,8.08E-05,1.735,0.347,0.754,0.1508,-75.5,15.1
g310.1420,B,2.11E-05,51:58.7,0.0692,-61:15:40.89850,0.0694,0.000262,1.80E-05,-,-,-,-,-,-
g310.1420,C,2.11E-05,51:59.1,0.0164,-61:15:40.00040,0.0209,0.0014,2.90E-05,2.165,0.061,0.62,0.161,70.4,1.9
g310.1420,D,2.11E-05,51:59.5,0.00857,-61:15:40.09572,0.01094,0.00228,2.50E-05,1.382,0.045,1.098,0.058,105.5,7.8
g310.1420,E,2.11E-05,51:57.6,0.0946,-61:15:47.97870,0.1208,0.000223,2.70E-05,1.55,0.47,1.25,0.77,130,136
g313.7654,A1,1.55E-05,25:01.6,0.0212,-61:44:57.71310,0.026,0.000499,1.30E-05,-,-,-,-,-,-
g313.7654,A2,1.55E-05,25:01.8,Fixed,-61:44:58.96000,Fixed,0.000196,4.30E-05,3.49,0.41,1.95,0.63,24.2,7.6
g313.7654,B1,1.55E-05,25:01.1,0.0495,-61:44:56.23940,0.0607,0.000448,2.70E-05,2.23,0.16,1.31,0.24,137.5,8.3
g313.7654,B2,1.55E-05,25:01.2,Fixed,-61:44:57.92000,Fixed,4.70E-05,1.10E-05,-,-,-,-,-,-
