Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g313.7654,C,1.55E-05,25:02.2,0.0308,-61:45:01.36130,0.0378,0.000406,1.50E-05,0.861,1.159,0.193,1.4,123,72
g313.7654,D,1.55E-05,25:00.1,0.0839,-61:44:53.17080,0.1029,0.000146,1.50E-05,0.801,0.165,0.412,0.209,5.8,4.5
g313.7654,E,1.55E-05,25:00.4,0.0522,-61:45:05.62240,0.0641,0.000398,2.60E-05,1.86,0.18,1.45,0.26,102,164
g317.4298,Core,7.28E-05,51:37.6,0.002,-60:00:20.68222,0.00298,0.0152,0.00034,0.766,0.016,0.406,0.031,136,2.6
g317.4298,SE,7.28E-05,,,,,0.0525,0.0019,9.12,0.37,8.03,0.33,29,16
g317.8908,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.9830,,-,,,,,<1.53e-4,-,-,-,-,-,-,-
g318.9480,A,1.92E-05,00:55.2,0.1427,-58:58:53.01580,0.2025,0.000123,2.70E-05,<1.84,-,<1.28,-,-,-
g326.6618,A,1.01E-04,-,-,-,-,<2.63e-4,-,-,-,-,-,-,-
g326.6618,W,1.01E-04,45:02.4,0.0373,-54:09:03.09300,0.0366,0.00162,0.00011,1.23,0.1,0.63,0.19,31.6,7.9
g327.1192,A,1.95E-05,47:32.8,0.0567,-53:52:39.68760,0.073,0.000333,2.30E-05,-,-,-,-,-,-
g331.3576,A,2.86E-04,06:25.8,0.0633,-50:43:22.45920,0.0854,0.00155,0.00019,<1.08,-,<0.6,-,-,-
g331.4904,A,1.92E-03,12:07.5,0.017,-51:30:02.0746,0.0154,0.26,0.011,1.97,0.14,1.56,0.13,17,15
g331.5414,A,1.92E-03,12:09.0,0.0185,-51:25:47.65410,0.0168,0.1686,0.0049,1.083,0.056,0.749,0.127,131,13
g331.5131,A,1.92E-03,,,,,0.128,0.0047,1.19,0.11,0.5,0.12,24.7,7.1
g331.5582,A,1.92E-03,12:27.3,0.0401,-51:27:32.4649,0.0363,0.164,0.0083,2.83,0.22,2.61,0.22,17,57
g332.0939,W,3.30E-05,16:16.5,0.0323,-51:18:25.20650,0.0505,0.000573,3.40E-05,-,-,-,-,-,-
g332.0939,E,3.30E-05,16:16.7,0.0639,-51:18:26.68190,0.0998,0.000315,3.60E-05,-,-,-,-,-,-
g332.8256,A,2.63E-03,,,,,2.495871,0.089,,,,,,
g332.9868,A,1.10E-04,20:37.8,0.0377,-50:43:49.4709,0.0413,0.00196,0.00021,-,-,-,-,-,-
g337.8442,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g338.9196,A,2.97E-05,40:34.1,0.1243,-45:42:07.20540,0.2401,<1.4e-4,-,-,-,-,-,-,-
g339.6221,E,3.84E-05,46:06.0,0.0223,-45:36:43.62760,0.0485,0.00156,0.0001,1.48,0.28,0.22,0.12,7.5,5.3
g339.6221,W,3.84E-05,46:05.6,0.1391,-45:36:45.52460,0.3468,0.00022,5.00E-05,-,-,-,-,-,-
g339.8838,C,2.29E-05,52:04.7,0.0562,-46:08:34.22100,0.0851,0.000884,6.50E-05,1.87,0.3,1.55,0.38,108,157
g339.8838,SW,2.29E-05,52:04.2,0.0431,-46:08:40.96740,0.0653,0.0014,7.90E-05,3.07,0.11,1.47,0.2,171,2.3
g339.8838,NE,2.29E-05,52:04.9,0.01395,-46:08:31.21470,0.02115,0.00229,4.20E-05,1.153,0.062,0.727,0.108,160.5,6.4
g340.0543,D,4.30E-04,48:13.8,0.06,-45:21:46.10920,0.1104,0.0018,0.00037,-,-,-,-,-,-
g340.0543,E,4.30E-04,,,,,0.46,0.0154,8.9,-,8.15,-,-,-
g340.2480,A,-,,,,,-,-,-,-,-,-,-,-
g343.1261,Central,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,S1,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,S3,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N1,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N2,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N4,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.5213,E,1.90E-05,,,,,0.000139,7.78E-05,-,-,-,-,-,-
g343.5213,W,1.90E-05,,,,,0.000539,7.75E-05,-,-,-,-,-,-
g345.4938,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,IW,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,IE,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,OW,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,OE,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.5043,A,1.00E-04,x,0.0704,-40:44:23.07970,0.1162,0.000824,0.000116,-,-,-,-,-,-
g345.9561,A,2.22E-05,-,-,-,-,<6.66e-5,-,-,-,-,-,-,-
g348.6972,A,1.02E-02,-,-,-,-,1.885,0.053,4.26,0.13,2.58,0.25,123.3,4.6
