Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g313.7654,B2,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,D,-,-,-,-,-,-,-,-,-,-,-,-,-
g313.7654,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.4298,Core,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.4298,SE,-,,,,,-,-,-,-,-,-,-,-
g317.8908,A,8.06E-05,53:06.3,0.00248,-59:21:00.22110,0.0049,0.0157,0.00017,0.467,0.015,0.376,0.02,124.4,8.7
g317.9830,,8.06E-05,,,,,-,-,-,-,-,-,-,-
g318.9480,A,2.63E-05,00:55.3,0.0628,-58:58:52.71750,0.0499,0.000145,2.40E-05,-,-,-,-,-,-
g326.6618,A,4.02E-05,45:02.8,0.0173,-54:09:03.38090,0.0365,0.000755,9.80E-05,0.522,0.233,0.237,0.111,180,52
g326.6618,W,4.02E-05,45:02.4,0.03,-54:09:03.41350,0.0633,0.00155,0.00023,1.613,0.069,1.058,0.138,175.3,3.5
g327.1192,A,4.98E-05,47:32.8,0.0258,-53:52:39.68470,0.0531,0.000347,3.90E-05,-,-,-,-,-,-
g331.3576,A,1.24E-04,06:25.8,0.01212,-50:43:22.47370,0.01049,0.0027,0.00014,<0.24,-,<0.15,-,-,-
g331.4904,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g331.5414,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g331.5131,A,-,,,,,-,-,-,-,-,-,-,-
g331.5582,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g332.0939,W,5.69E-05,16:16.4,0.00207,-51:18:24.80337,0.00406,0.00435,0.00015,-,-,-,-,-,-
g332.0939,E,5.69E-05,-,-,-,-,<1.41e-4,-,-,-,-,-,-,-
g332.8256,A,9.94E-03,,,,,4.089169,0.0676,,,,,,
g332.9868,A,7.35E-05,20:37.8,0.00212,-50:43:49.86269,0.00365,0.0093,0.00042,<0.31,-,<0.05,-,-,-
g337.8442,A,1.27E-04,40:26.7,0.000783,-47:07:13.106312,0.001763,0.0427,0.00015,0.2265,0.0078,0.1833,0.0104,11.6,8.5
g338.9196,A,3.23E-05,40:34.0,0.0392,-45:42:07.46420,0.0524,0.00025,6.00E-05,<0.76,-,<0.14,-,-,-
g339.6221,E,-,-,-,-,-,-,-,-,-,-,-,-,-
g339.6221,W,-,-,-,-,-,-,-,-,-,-,-,-,-
g339.8838,C,4.28E-05,52:04.7,0.00424,-46:08:34.06554,0.01044,0.00244,4.60E-05,<0.34,-,<0.15,-,-,-
g339.8838,SW,4.28E-05,52:04.2,0.0152,-46:08:39.97290,0.0375,0.00071,4.80E-05,<0.67,-,<0.20,-,-,-
g339.8838,NE,4.28E-05,52:04.9,0.00735,-46:08:31.10301,0.01813,0.00186,6.10E-05,0.592,0.036,0.3,0.088,5.8,9
g340.0543,D,-,-,-,-,-,-,-,-,-,-,-,-,-
g340.0543,E,-,,,,,-,-,-,-,-,-,-,-
g340.2480,A,1.28E-03,,,,,0.21,0.0193,0.668,0.045,0.572,0.066,144,28
g343.1261,Central,6.39E-05,58:17.2,0.006,-42:52:07.15500,0.013,0.0168,0.00013,0.9652,0.008,0.1631,0.0467,160.11,0.85
g343.1261,C,6.39E-05,58:17.7,0.0246,-42:52:12.59660,0.065,0.000924,7.20E-05,-,-,-,-,-,-
g343.1261,S1,6.39E-05,58:17.5,0.00537,-42:52:16.48023,0.01418,0.00472,0.00011,0.636,0.027,0.354,0.057,23.1,6
g343.1261,S3,6.39E-05,58:17.2,0.071,-42:52:08.54800,0.095,0.000962,0.000325,-,-,-,-,-,-
g343.1261,N1,6.39E-05,58:16.8,0.0195,-42:51:56.99580,0.0515,0.00107,9.40E-05,0.573,0.594,0.151,0.301,132,46
g343.1261,N2,6.39E-05,58:16.9,0.0195,-42:51:58.40920,0.0514,0.00158,0.00014,0.842,0.075,0.618,0.148,9.3,30.9
g343.1261,N4,6.39E-05,58:17.0,0.01318,-42:52:03.64249,0.03481,0.0018,0.00011,0.654,0.065,0.346,0.176,171,18
g343.5213,E,2.97E-05,,,,,<8.58e-5,-,-,-,-,-,-,-
g343.5213,W,2.97E-05,,,,,0.000462,0.000147,1.73,0.346,0.405,0.081,-33,30
g345.4938,C,8.58E-05,59:41.6,0.00184,-40:03:43.73236,0.0048,0.0139,0.00011,0.243,0.024,0.124,0.058,136,12
g345.4938,IW,8.58E-05,59:41.4,0.06,-40:03:42.95,0.06,0.00218,0.000164,1.147,0.074,0.896,0.148,14,27
g345.4938,IE,8.58E-05,59:41.9,0.06,-40:03:44.28,0.06,0.00193,0.000126,2.31,0.17,1.25,0.29,145.5,7.5
g345.4938,OW,8.58E-05,59:39.8,0.06,-40:03:41.66,0.06,0.00184,7.26E-05,3.2,0.11,1.51,0.29,175.2,3.6
g345.4938,OE,8.58E-05,59:44.1,0.06,-40:03:51.89,0.06,0.000969,7.34E-05,2.97,0.13,0.95,0.37,175.2,5.7
g345.5043,A,6.75E-05,04:22.9,0.01045,-40:44:22.80882,0.01824,0.00293,0.00017,0.32,0.07,0.12,0.09,145,19
g345.9561,A,2.55E-05,04:43.0,0.1342,-40:13:13.81690,0.2201,0.000276,6.80E-05,2.45,0.27,0.91,0.64,169,12
g348.6972,A,-,-,-,-,-,-,-,-,-,-,-,-,-
